city,country,stationName,stationNumber,latitude,longitude,
昆明市,呈贡区,黄泥村,T4669,245422,1030236,2454221030236
昆明市,呈贡区,大平地村,T4670,244833,1030159,2448331030159
昆明市,呈贡区,新街村,T4672,245120,1025937,2451201025937
昆明市,呈贡区,脚步哨村,T4673,244916,1024818,2449161024818
昆明市,呈贡区,国林水库,T4674,245422,1025045,2454221025045
昆明市,呈贡区,小洛羊村,T4675,245455,1024818,2454551024818
昆明市,安宁市,朝阳村站,T4676,244131,1022142,2441311022142
昆明市,安宁市,窑坡村站,T4677,244318,1022306,2443181022306
昆明市,安宁市,青龙哨村,T4678,245749,1022028,2457491022028
昆明市,安宁市,邵九村,T4679,245523,1021951,2455231021951
昆明市,安宁市,白塔村,T4681,245925,1022029,2459251022029
昆明市,嵩明县,大营村,T4685,252122,1030437,2521221030437
昆明市,嵩明县,龙街村,T4686,251505,1030455,2515051030455
昆明市,嵩明县,布能村,T4687,251921,1030049,2519211030049
昆明市,嵩明县,大坡村,T4688,252028,1030400,2520281030400
昆明市,嵩明县,东山村,T4689,251710,1025658,2517101025658
昆明市,嵩明县,积德村,T4691,252048,1030612,2520481030612
昆明市,嵩明县,本纳克小学,T4692,252008,1030520,2520081030520
昆明市,嵩明县,海潮村,T4693,251530,1030400,2515301030400
昆明市,嵩明县,四营下马坊,T4694,251508,1030758,2515081030758
昆明市,嵩明县,腰站村,T4695,251708,1030957,2517081030957
昆明市,晋宁县,兴隆村,T4697,244119,1023529,2441191023529
昆明市,晋宁县,韩家营村,T4698,243523,1023406,2435231023406
昆明市,晋宁县,清水河村,T4699,243344,1023425,2433441023425
昆明市,晋宁县,海龙村,T4700,243333,1023709,2433331023709
昆明市,晋宁县,十里村,T4701,243909,1024521,2439091024521
昆明市,晋宁县,盐井村,T4702,243731,1024608,2437311024608
昆明市,晋宁县,富有村,T4703,244407,1024601,2444071024601
昆明市,晋宁县,石寨村,T4705,244318,1024142,2443181024142
昆明市,晋宁县,新寨村,T4708,242922,1024151,2429221024151
昆明市,晋宁县,保安村,T4709,242722,1021517,2427221021517
昆明市,晋宁县,绿溪村,T4711,242930,1021835,2429301021835
昆明市,富民,永定永安,T4715,251110,1023042,2511101023042
昆明市,富民,永定松林,T4716,250938,1023108,2509381023108
昆明市,富民,永定白石岩,T4717,251834,1023003,2518341023003
昆明市,富民,永定三村,T4718,251248,1023437,2512481023437
昆明市,富民,东村祖库,T4719,253348,1024226,2533481024226
昆明市,富民,东村中民,T4720,253210,1024338,2532101024338
昆明市,富民,款庄拖卓,T4721,252452,1023602,2524521023602
昆明市,富民,赤鹫龙潭,T4722,252506,1023110,2525061023110
昆明市,富民,甸头,T4723,252013,1024144,2520131024144
昆明市,石林县,清水塘,T4740,244706,1032035,2447061032035
昆明市,石林县,站屯村,T4741,245442,1032118,2454421032118
昆明市,石林县,小密枝村,T4742,245549,1031860,2455491031860
昆明市,石林县,北小村村,T4743,245111,1032307,2451111032307
昆明市,石林县,小河村,T4744,245238,1031747,2452381031747
昆明市,石林县,格渣村,T4745,244544,1033640,2445441033640
昆明市,石林县,宜柰村,T4746,245040,1033551,2450401033551
昆明市,石林县,糯黑村,T4747,243959,1033136,2439591033136
昆明市,石林县,尾乍黑村,T4748,243431,1033031,2434311033031
昆明市,石林县,法块村,T4749,243649,1033601,2436491033601
昆明市,石林县,水尾村,T4750,243231,1031126,2432311031126
昆明市,石林县,祖莫村,T4751,244440,1032649,2444401032649
昆明市,石林县,舍色村,T4752,243912,1032327,2439121032327
昆明市,石林县,海宜村,T4753,243638,1032718,2436381032718
昆明市,东川区,乌龙园子村,T4787,260137,1030430,2601371030430
昆明市,东川区,乌龙水井村,T4788,255830,1030509,2558301030509
昆明市,东川区,乌龙半坡村,T4789,260054,1030404,2600541030404
昆明市,东川区,乌龙包包村,T4790,260945,1030618,2609451030618
昆明市,东川区,新村村,T4791,294544,1214211,2945441214211
昆明市,两区,茂麓村,T4799,261822,1025040,2618221025040
昆明市,两区,云坪村,T4800,261552,1025151,2615521025151
昆明市,两区,新乐村,T4801,260412,1025855,2604121025855
昆明市,两区,银水箐村,T4802,260501,1025632,2605011025632
昆明市,两区,花沟村,T4803,255445,1030512,2554451030512
昆明市,两区,仓房村,T4804,255922,1030311,2559221030311
昆明市,两区,毛坝子村,T4805,260028,1025710,2600281025710
昆明市,两区,鲁噶村,T4806,254311,1025345,2543111025345
昆明市,两区,骂秧村,T4808,255246,1025533,2552461025533
昆明市,两区,杨家湾村,T4809,255237,1030445,2552371030445
昆明市,两区,合理村,T4810,255108,1030315,2551081030315
昆明市,两区,凤合大麦地,T4811,254534,1030049,2545341030049
昆明市,两区,多姑村,T4812,254807,1030244,2548071030244
昆明市,两区,松棵村,T4813,255734,1025944,2557341025944
昆明市,两区,三界村,T4814,255852,1025522,2558521025522
昆明市,两区,落水洞村,T4815,255401,1025838,2554011025838
